物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
10010019,鱼沼米,5KG,包,,14.00,3.00,11.00,304.000,912.00,"3,344.00"
11060201,精选手工蒜肉,,斤,,31.00, ,31.00,8.000, ,248.00
15020013,黑盐,,瓶,,5.00,1.00,4.00, , , 
15040001,樱花芥辣,43g,支,,13.00,4.00,9.00,9.000,36.00,81.00
15040064,泰国辣鸡酱,880g,瓶,,1.00, ,1.00,13.000, ,13.00
15050001,致美斋大红浙醋,,瓶,,1.00, ,1.00,5.500, ,5.50
15050016,宁化府陈醋,330ml,支,,10.00,4.00,6.00,10.750,43.00,64.50
15060009,日本海鲜豉油,200ml,瓶,,9.00,3.00,6.00,19.000,57.00,114.00
15060016,泰国鱼露,725毫升,瓶,,1.00,1.00, ,8.000,8.00, 
15060048,海天罐装金标生抽,1.9l,罐,,7.00,2.00,5.00,16.600,33.20,83.00
15060090,辣椒浸蒜头,,斤,,30.00,25.00,5.00,12.000,300.00,60.00
合计,食品,,,,,,,,"1,389.20","4,013.00"
