物资编码,品  名  规  格,单位,货架号,位置,数量,单价,金额
0102,燕盏,斤,,徐博馆仓库,2.00,"2,880.000","5,760.00"
02010009,80-90克岩手大网鲍,只,,徐博馆仓库,16.00,"1,409.000","22,544.00"
02010010,90-100克岩手大网鲍,只,,徐博馆仓库,16.00,"2,213.000","35,408.00"
02010011,120-150克岩手大网鲍,只,,徐博馆仓库,6.00,"5,018.000","30,108.00"
02020004,22-24克头吉品鲍,斤,,徐博馆仓库,1.00,"5,000.000","5,000.00"
02020008,11-14克吉品鲍,斤,,徐博馆仓库,1.00,"5,500.000","5,500.00"
02020009,21-25头吉品鲍,斤,,徐博馆仓库,1.00,"4,750.000","4,750.00"
02030006,20头南非吉品鲍,斤,,徐博馆仓库,4.00,"2,103.200","8,412.80"
02030008,25头南非吉品鲍,斤,,徐博馆仓库,2.00,"1,872.710","3,745.42"
02050001,20-29克禾麻鲍,斤,,徐博馆仓库,1.00,"5,933.980","5,933.98"
03020005,19寸牙拣翅,斤,,徐博馆仓库,3.10,683.329,"2,118.32"
03050003,12寸牙勾翅,斤,,徐博馆仓库,4.10,"1,013.310","4,154.57"
0308,23寸鬼春翅,斤,,徐博馆仓库,10.60,"1,666.660","17,666.60"
0402,冬虫草1200支,斤,,徐博馆仓库,1.00,"98,000.000","98,000.00"
0403,冬虫草1500支,斤,,徐博馆仓库,0.40,"80,000.000","32,000.00"
08010002,一般花胶,斤,,徐博馆仓库,6.00,"1,983.320","11,899.92"
08010004,1-2头花胶片,斤,,徐博馆仓库,2.10,"3,200.000","6,720.00"
08010005,黄花胶,斤,,徐博馆仓库,5.00,470.000,"2,350.00"
08010015,阿巴公花胶,斤,,徐博馆仓库,2.70,"3,162.800","8,539.56"
08020006,花旗参片（小）,斤,,徐博馆仓库,3.60,353.331,"1,271.99"
08030005,关东辽参,斤,,徐博馆仓库,3.40,"4,600.000","15,640.00"
08030014,25-30头关东辽参,斤,,徐博馆仓库,2.00,"4,759.300","9,518.60"
08030017,参皮,斤,,徐博馆仓库,1.50,150.000,225.00
09120211,樱花虾 0.5KG/包,斤,,徐博馆仓库,23.00,181.840,"4,182.32"
09120221,干龙趸皮,斤,,徐博馆仓库,42.10,700.000,"29,470.00"
09120248,蚬肉汤包,包,,徐博馆仓库,150.00,23.780,"3,567.00"
09140033,沙虫干,斤,,徐博馆仓库,1.40,550.000,770.00
,食品,,,,,,"375,256.08"
10010009,小米,斤,,徐博馆仓库,3.00,3.000,9.00
10010019,鱼沼米 5KG,包,,徐博馆仓库,49.00,304.000,"14,896.00"
10010021,苏比利尔野米,包,,徐博馆仓库,2.00,63.000,126.00
